h0 [SinglePointCrossover,BitFlipMutation] 83185
h1 [SinglePointCrossover,LoopMoveOperator] 83603
h2 [SinglePointCrossover,LocalMoveOperator] 82745
h3 [SinglePointCrossover,SegmentMutation] 82873
h4 [SinglePointCrossover,OppositeMoveOperator] 83375
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83009
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83299
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83591
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83133
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83363
h10 [MultiPointsCrossover,BitFlipMutation] 83746
h11 [MultiPointsCrossover,LoopMoveOperator] 82754
h12 [MultiPointsCrossover,LocalMoveOperator] 83372
h13 [MultiPointsCrossover,SegmentMutation] 83180
h14 [MultiPointsCrossover,OppositeMoveOperator] 83522
