h0 [SinglePointCrossover,BitFlipMutation] 166327
h1 [SinglePointCrossover,LoopMoveOperator] 166381
h2 [SinglePointCrossover,LocalMoveOperator] 166365
h3 [SinglePointCrossover,SegmentMutation] 166605
h4 [SinglePointCrossover,OppositeMoveOperator] 167077
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166396
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166263
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166838
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167048
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166955
h10 [MultiPointsCrossover,BitFlipMutation] 167130
h11 [MultiPointsCrossover,LoopMoveOperator] 166538
h12 [MultiPointsCrossover,LocalMoveOperator] 167155
h13 [MultiPointsCrossover,SegmentMutation] 166835
h14 [MultiPointsCrossover,OppositeMoveOperator] 166087
