h0 [SinglePointCrossover,BitFlipMutation] 83083
h1 [SinglePointCrossover,LoopMoveOperator] 83128
h2 [SinglePointCrossover,LocalMoveOperator] 82905
h3 [SinglePointCrossover,SegmentMutation] 83663
h4 [SinglePointCrossover,OppositeMoveOperator] 83616
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83428
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 82526
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 82967
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83336
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83316
h10 [MultiPointsCrossover,BitFlipMutation] 83635
h11 [MultiPointsCrossover,LoopMoveOperator] 83178
h12 [MultiPointsCrossover,LocalMoveOperator] 83584
h13 [MultiPointsCrossover,SegmentMutation] 83127
h14 [MultiPointsCrossover,OppositeMoveOperator] 83258
