h0 [SinglePointCrossover,BitFlipMutation] 83300
h1 [SinglePointCrossover,LoopMoveOperator] 83225
h2 [SinglePointCrossover,LocalMoveOperator] 83451
h3 [SinglePointCrossover,SegmentMutation] 82880
h4 [SinglePointCrossover,OppositeMoveOperator] 83207
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83167
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83151
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83327
h8 [IntegerTwoPointsCrossover,SegmentMutation] 82891
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83575
h10 [MultiPointsCrossover,BitFlipMutation] 83780
h11 [MultiPointsCrossover,LoopMoveOperator] 82598
h12 [MultiPointsCrossover,LocalMoveOperator] 83567
h13 [MultiPointsCrossover,SegmentMutation] 83456
h14 [MultiPointsCrossover,OppositeMoveOperator] 83175
