h0 [SinglePointCrossover,BitFlipMutation] 83150
h1 [SinglePointCrossover,LoopMoveOperator] 83226
h2 [SinglePointCrossover,LocalMoveOperator] 83465
h3 [SinglePointCrossover,SegmentMutation] 83134
h4 [SinglePointCrossover,OppositeMoveOperator] 83595
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83522
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 82928
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83352
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83568
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83124
h10 [MultiPointsCrossover,BitFlipMutation] 83728
h11 [MultiPointsCrossover,LoopMoveOperator] 82790
h12 [MultiPointsCrossover,LocalMoveOperator] 83767
h13 [MultiPointsCrossover,SegmentMutation] 83316
h14 [MultiPointsCrossover,OppositeMoveOperator] 82835
