h0 [SinglePointCrossover,BitFlipMutation] 1636
h1 [SinglePointCrossover,LoopMoveOperator] 1674
h2 [SinglePointCrossover,LocalMoveOperator] 1595
h3 [SinglePointCrossover,SegmentMutation] 1697
h4 [SinglePointCrossover,OppositeMoveOperator] 1750
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1665
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1683
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1712
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1710
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1648
h10 [MultiPointsCrossover,BitFlipMutation] 1585
h11 [MultiPointsCrossover,LoopMoveOperator] 1719
h12 [MultiPointsCrossover,LocalMoveOperator] 1644
h13 [MultiPointsCrossover,SegmentMutation] 1632
h14 [MultiPointsCrossover,OppositeMoveOperator] 1650
