h0 [SinglePointCrossover,BitFlipMutation] 166868
h1 [SinglePointCrossover,LoopMoveOperator] 166595
h2 [SinglePointCrossover,LocalMoveOperator] 166351
h3 [SinglePointCrossover,SegmentMutation] 166602
h4 [SinglePointCrossover,OppositeMoveOperator] 166411
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166644
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166527
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166421
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167197
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166646
h10 [MultiPointsCrossover,BitFlipMutation] 166275
h11 [MultiPointsCrossover,LoopMoveOperator] 167386
h12 [MultiPointsCrossover,LocalMoveOperator] 165353
h13 [MultiPointsCrossover,SegmentMutation] 167294
h14 [MultiPointsCrossover,OppositeMoveOperator] 167430
