h0 [SinglePointCrossover,BitFlipMutation] 83742
h1 [SinglePointCrossover,LoopMoveOperator] 82759
h2 [SinglePointCrossover,LocalMoveOperator] 83334
h3 [SinglePointCrossover,SegmentMutation] 83203
h4 [SinglePointCrossover,OppositeMoveOperator] 83172
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 82867
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83812
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83238
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83520
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83353
h10 [MultiPointsCrossover,BitFlipMutation] 83778
h11 [MultiPointsCrossover,LoopMoveOperator] 83037
h12 [MultiPointsCrossover,LocalMoveOperator] 83101
h13 [MultiPointsCrossover,SegmentMutation] 83219
h14 [MultiPointsCrossover,OppositeMoveOperator] 83365
