h0 [SinglePointCrossover,BitFlipMutation] 16555
h1 [SinglePointCrossover,LoopMoveOperator] 16956
h2 [SinglePointCrossover,LocalMoveOperator] 16741
h3 [SinglePointCrossover,SegmentMutation] 16754
h4 [SinglePointCrossover,OppositeMoveOperator] 16640
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16492
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16736
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16565
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16611
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16614
h10 [MultiPointsCrossover,BitFlipMutation] 16723
h11 [MultiPointsCrossover,LoopMoveOperator] 16748
h12 [MultiPointsCrossover,LocalMoveOperator] 16577
h13 [MultiPointsCrossover,SegmentMutation] 16736
h14 [MultiPointsCrossover,OppositeMoveOperator] 16552
