h0 [SinglePointCrossover,BitFlipMutation] 1695
h1 [SinglePointCrossover,LoopMoveOperator] 1699
h2 [SinglePointCrossover,LocalMoveOperator] 1742
h3 [SinglePointCrossover,SegmentMutation] 1701
h4 [SinglePointCrossover,OppositeMoveOperator] 1675
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1678
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1620
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1626
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1562
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1689
h10 [MultiPointsCrossover,BitFlipMutation] 1593
h11 [MultiPointsCrossover,LoopMoveOperator] 1708
h12 [MultiPointsCrossover,LocalMoveOperator] 1639
h13 [MultiPointsCrossover,SegmentMutation] 1665
h14 [MultiPointsCrossover,OppositeMoveOperator] 1708
