h0 [SinglePointCrossover,BitFlipMutation] 166777
h1 [SinglePointCrossover,LoopMoveOperator] 167189
h2 [SinglePointCrossover,LocalMoveOperator] 166303
h3 [SinglePointCrossover,SegmentMutation] 166555
h4 [SinglePointCrossover,OppositeMoveOperator] 167111
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166544
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166893
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166435
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166738
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166295
h10 [MultiPointsCrossover,BitFlipMutation] 167102
h11 [MultiPointsCrossover,LoopMoveOperator] 167255
h12 [MultiPointsCrossover,LocalMoveOperator] 166046
h13 [MultiPointsCrossover,SegmentMutation] 166055
h14 [MultiPointsCrossover,OppositeMoveOperator] 166702
