h0 [SinglePointCrossover,BitFlipMutation] 166456
h1 [SinglePointCrossover,LoopMoveOperator] 166506
h2 [SinglePointCrossover,LocalMoveOperator] 167032
h3 [SinglePointCrossover,SegmentMutation] 167056
h4 [SinglePointCrossover,OppositeMoveOperator] 166292
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167159
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166730
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166540
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166939
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167306
h10 [MultiPointsCrossover,BitFlipMutation] 166795
h11 [MultiPointsCrossover,LoopMoveOperator] 166873
h12 [MultiPointsCrossover,LocalMoveOperator] 165980
h13 [MultiPointsCrossover,SegmentMutation] 166363
h14 [MultiPointsCrossover,OppositeMoveOperator] 165973
