h0 [SinglePointCrossover,BitFlipMutation] 167062
h1 [SinglePointCrossover,LoopMoveOperator] 166822
h2 [SinglePointCrossover,LocalMoveOperator] 166092
h3 [SinglePointCrossover,SegmentMutation] 165737
h4 [SinglePointCrossover,OppositeMoveOperator] 166684
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166610
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166877
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167053
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166633
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166606
h10 [MultiPointsCrossover,BitFlipMutation] 166773
h11 [MultiPointsCrossover,LoopMoveOperator] 167070
h12 [MultiPointsCrossover,LocalMoveOperator] 166845
h13 [MultiPointsCrossover,SegmentMutation] 166337
h14 [MultiPointsCrossover,OppositeMoveOperator] 166799
