h0 [SinglePointCrossover,BitFlipMutation] 16619
h1 [SinglePointCrossover,LoopMoveOperator] 16745
h2 [SinglePointCrossover,LocalMoveOperator] 16906
h3 [SinglePointCrossover,SegmentMutation] 16427
h4 [SinglePointCrossover,OppositeMoveOperator] 16710
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16640
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16714
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16573
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16705
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16667
h10 [MultiPointsCrossover,BitFlipMutation] 16528
h11 [MultiPointsCrossover,LoopMoveOperator] 16571
h12 [MultiPointsCrossover,LocalMoveOperator] 16795
h13 [MultiPointsCrossover,SegmentMutation] 16737
h14 [MultiPointsCrossover,OppositeMoveOperator] 16663
