h0 [SinglePointCrossover,BitFlipMutation] 166503
h1 [SinglePointCrossover,LoopMoveOperator] 166769
h2 [SinglePointCrossover,LocalMoveOperator] 166507
h3 [SinglePointCrossover,SegmentMutation] 167318
h4 [SinglePointCrossover,OppositeMoveOperator] 167168
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166325
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167162
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166045
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166331
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166979
h10 [MultiPointsCrossover,BitFlipMutation] 166241
h11 [MultiPointsCrossover,LoopMoveOperator] 167140
h12 [MultiPointsCrossover,LocalMoveOperator] 166508
h13 [MultiPointsCrossover,SegmentMutation] 166126
h14 [MultiPointsCrossover,OppositeMoveOperator] 166878
