h0 [SinglePointCrossover,BitFlipMutation] 16640
h1 [SinglePointCrossover,LoopMoveOperator] 16468
h2 [SinglePointCrossover,LocalMoveOperator] 16899
h3 [SinglePointCrossover,SegmentMutation] 16575
h4 [SinglePointCrossover,OppositeMoveOperator] 16691
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16855
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16586
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16636
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16588
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16826
h10 [MultiPointsCrossover,BitFlipMutation] 16711
h11 [MultiPointsCrossover,LoopMoveOperator] 16694
h12 [MultiPointsCrossover,LocalMoveOperator] 16531
h13 [MultiPointsCrossover,SegmentMutation] 16638
h14 [MultiPointsCrossover,OppositeMoveOperator] 16662
