h0 [SinglePointCrossover,BitFlipMutation] 8318
h1 [SinglePointCrossover,LoopMoveOperator] 8344
h2 [SinglePointCrossover,LocalMoveOperator] 8394
h3 [SinglePointCrossover,SegmentMutation] 8551
h4 [SinglePointCrossover,OppositeMoveOperator] 8402
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8310
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8224
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8511
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8142
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8337
h10 [MultiPointsCrossover,BitFlipMutation] 8270
h11 [MultiPointsCrossover,LoopMoveOperator] 8320
h12 [MultiPointsCrossover,LocalMoveOperator] 8159
h13 [MultiPointsCrossover,SegmentMutation] 8154
h14 [MultiPointsCrossover,OppositeMoveOperator] 8314
