h0 [SinglePointCrossover,BitFlipMutation] 166297
h1 [SinglePointCrossover,LoopMoveOperator] 166789
h2 [SinglePointCrossover,LocalMoveOperator] 166839
h3 [SinglePointCrossover,SegmentMutation] 166642
h4 [SinglePointCrossover,OppositeMoveOperator] 166423
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167008
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166949
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166471
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166298
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167251
h10 [MultiPointsCrossover,BitFlipMutation] 166371
h11 [MultiPointsCrossover,LoopMoveOperator] 165772
h12 [MultiPointsCrossover,LocalMoveOperator] 167361
h13 [MultiPointsCrossover,SegmentMutation] 166593
h14 [MultiPointsCrossover,OppositeMoveOperator] 166936
