h0 [SinglePointCrossover,BitFlipMutation] 166367
h1 [SinglePointCrossover,LoopMoveOperator] 166819
h2 [SinglePointCrossover,LocalMoveOperator] 166018
h3 [SinglePointCrossover,SegmentMutation] 166429
h4 [SinglePointCrossover,OppositeMoveOperator] 166147
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166226
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167566
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166263
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167388
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167002
h10 [MultiPointsCrossover,BitFlipMutation] 167008
h11 [MultiPointsCrossover,LoopMoveOperator] 167153
h12 [MultiPointsCrossover,LocalMoveOperator] 167061
h13 [MultiPointsCrossover,SegmentMutation] 166379
h14 [MultiPointsCrossover,OppositeMoveOperator] 166174
