h0 [SinglePointCrossover,BitFlipMutation] 166488
h1 [SinglePointCrossover,LoopMoveOperator] 166941
h2 [SinglePointCrossover,LocalMoveOperator] 165417
h3 [SinglePointCrossover,SegmentMutation] 165971
h4 [SinglePointCrossover,OppositeMoveOperator] 166643
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166863
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166898
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166979
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167206
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166350
h10 [MultiPointsCrossover,BitFlipMutation] 167298
h11 [MultiPointsCrossover,LoopMoveOperator] 166709
h12 [MultiPointsCrossover,LocalMoveOperator] 166371
h13 [MultiPointsCrossover,SegmentMutation] 166637
h14 [MultiPointsCrossover,OppositeMoveOperator] 167229
