h0 [SinglePointCrossover,BitFlipMutation] 8260
h1 [SinglePointCrossover,LoopMoveOperator] 8444
h2 [SinglePointCrossover,LocalMoveOperator] 8304
h3 [SinglePointCrossover,SegmentMutation] 8479
h4 [SinglePointCrossover,OppositeMoveOperator] 8279
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8420
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8124
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8310
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8371
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8149
h10 [MultiPointsCrossover,BitFlipMutation] 8494
h11 [MultiPointsCrossover,LoopMoveOperator] 8130
h12 [MultiPointsCrossover,LocalMoveOperator] 8318
h13 [MultiPointsCrossover,SegmentMutation] 8340
h14 [MultiPointsCrossover,OppositeMoveOperator] 8328
