h0 [SinglePointCrossover,BitFlipMutation] 83231
h1 [SinglePointCrossover,LoopMoveOperator] 83258
h2 [SinglePointCrossover,LocalMoveOperator] 83527
h3 [SinglePointCrossover,SegmentMutation] 83265
h4 [SinglePointCrossover,OppositeMoveOperator] 83441
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 82979
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83456
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83538
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83315
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83048
h10 [MultiPointsCrossover,BitFlipMutation] 82793
h11 [MultiPointsCrossover,LoopMoveOperator] 83146
h12 [MultiPointsCrossover,LocalMoveOperator] 82692
h13 [MultiPointsCrossover,SegmentMutation] 82874
h14 [MultiPointsCrossover,OppositeMoveOperator] 84187
