h0 [SinglePointCrossover,BitFlipMutation] 16530
h1 [SinglePointCrossover,LoopMoveOperator] 16738
h2 [SinglePointCrossover,LocalMoveOperator] 16656
h3 [SinglePointCrossover,SegmentMutation] 16749
h4 [SinglePointCrossover,OppositeMoveOperator] 16858
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16762
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16575
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16643
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16748
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16605
h10 [MultiPointsCrossover,BitFlipMutation] 16633
h11 [MultiPointsCrossover,LoopMoveOperator] 16641
h12 [MultiPointsCrossover,LocalMoveOperator] 16588
h13 [MultiPointsCrossover,SegmentMutation] 16603
h14 [MultiPointsCrossover,OppositeMoveOperator] 16671
