h0 [SinglePointCrossover,BitFlipMutation] 166780
h1 [SinglePointCrossover,LoopMoveOperator] 166930
h2 [SinglePointCrossover,LocalMoveOperator] 165649
h3 [SinglePointCrossover,SegmentMutation] 166892
h4 [SinglePointCrossover,OppositeMoveOperator] 166263
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166677
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166495
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166696
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166839
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166956
h10 [MultiPointsCrossover,BitFlipMutation] 166550
h11 [MultiPointsCrossover,LoopMoveOperator] 166430
h12 [MultiPointsCrossover,LocalMoveOperator] 167636
h13 [MultiPointsCrossover,SegmentMutation] 166194
h14 [MultiPointsCrossover,OppositeMoveOperator] 167013
