h0 [SinglePointCrossover,BitFlipMutation] 1775
h1 [SinglePointCrossover,LoopMoveOperator] 1749
h2 [SinglePointCrossover,LocalMoveOperator] 1679
h3 [SinglePointCrossover,SegmentMutation] 1654
h4 [SinglePointCrossover,OppositeMoveOperator] 1655
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1740
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1653
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1655
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1627
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1663
h10 [MultiPointsCrossover,BitFlipMutation] 1707
h11 [MultiPointsCrossover,LoopMoveOperator] 1575
h12 [MultiPointsCrossover,LocalMoveOperator] 1638
h13 [MultiPointsCrossover,SegmentMutation] 1599
h14 [MultiPointsCrossover,OppositeMoveOperator] 1631
