h0 [SinglePointCrossover,BitFlipMutation] 8323
h1 [SinglePointCrossover,LoopMoveOperator] 8398
h2 [SinglePointCrossover,LocalMoveOperator] 8402
h3 [SinglePointCrossover,SegmentMutation] 8379
h4 [SinglePointCrossover,OppositeMoveOperator] 8490
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8366
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8352
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8292
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8213
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8270
h10 [MultiPointsCrossover,BitFlipMutation] 8288
h11 [MultiPointsCrossover,LoopMoveOperator] 8299
h12 [MultiPointsCrossover,LocalMoveOperator] 8342
h13 [MultiPointsCrossover,SegmentMutation] 8213
h14 [MultiPointsCrossover,OppositeMoveOperator] 8123
