h0 [SinglePointCrossover,BitFlipMutation] 8364
h1 [SinglePointCrossover,LoopMoveOperator] 8308
h2 [SinglePointCrossover,LocalMoveOperator] 8197
h3 [SinglePointCrossover,SegmentMutation] 8173
h4 [SinglePointCrossover,OppositeMoveOperator] 8428
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8389
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8361
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8194
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8524
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8420
h10 [MultiPointsCrossover,BitFlipMutation] 8291
h11 [MultiPointsCrossover,LoopMoveOperator] 8338
h12 [MultiPointsCrossover,LocalMoveOperator] 8053
h13 [MultiPointsCrossover,SegmentMutation] 8347
h14 [MultiPointsCrossover,OppositeMoveOperator] 8363
