h0 [SinglePointCrossover,BitFlipMutation] 83063
h1 [SinglePointCrossover,LoopMoveOperator] 82947
h2 [SinglePointCrossover,LocalMoveOperator] 83596
h3 [SinglePointCrossover,SegmentMutation] 83829
h4 [SinglePointCrossover,OppositeMoveOperator] 83254
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83103
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83777
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83008
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83329
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 82962
h10 [MultiPointsCrossover,BitFlipMutation] 83031
h11 [MultiPointsCrossover,LoopMoveOperator] 83390
h12 [MultiPointsCrossover,LocalMoveOperator] 83507
h13 [MultiPointsCrossover,SegmentMutation] 82999
h14 [MultiPointsCrossover,OppositeMoveOperator] 83705
