h0 [SinglePointCrossover,BitFlipMutation] 837
h1 [SinglePointCrossover,LoopMoveOperator] 800
h2 [SinglePointCrossover,LocalMoveOperator] 827
h3 [SinglePointCrossover,SegmentMutation] 807
h4 [SinglePointCrossover,OppositeMoveOperator] 856
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 842
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 823
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 828
h8 [IntegerTwoPointsCrossover,SegmentMutation] 906
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 804
h10 [MultiPointsCrossover,BitFlipMutation] 807
h11 [MultiPointsCrossover,LoopMoveOperator] 865
h12 [MultiPointsCrossover,LocalMoveOperator] 774
h13 [MultiPointsCrossover,SegmentMutation] 842
h14 [MultiPointsCrossover,OppositeMoveOperator] 832
