h0 [SinglePointCrossover,BitFlipMutation] 167115
h1 [SinglePointCrossover,LoopMoveOperator] 166419
h2 [SinglePointCrossover,LocalMoveOperator] 167007
h3 [SinglePointCrossover,SegmentMutation] 165699
h4 [SinglePointCrossover,OppositeMoveOperator] 166370
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167411
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167406
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166587
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166822
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166986
h10 [MultiPointsCrossover,BitFlipMutation] 166458
h11 [MultiPointsCrossover,LoopMoveOperator] 165942
h12 [MultiPointsCrossover,LocalMoveOperator] 166282
h13 [MultiPointsCrossover,SegmentMutation] 166656
h14 [MultiPointsCrossover,OppositeMoveOperator] 166840
