h0 [SinglePointCrossover,BitFlipMutation] 167375
h1 [SinglePointCrossover,LoopMoveOperator] 166128
h2 [SinglePointCrossover,LocalMoveOperator] 167082
h3 [SinglePointCrossover,SegmentMutation] 166424
h4 [SinglePointCrossover,OppositeMoveOperator] 166598
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166643
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166573
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166632
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166772
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166476
h10 [MultiPointsCrossover,BitFlipMutation] 166364
h11 [MultiPointsCrossover,LoopMoveOperator] 166986
h12 [MultiPointsCrossover,LocalMoveOperator] 166679
h13 [MultiPointsCrossover,SegmentMutation] 165997
h14 [MultiPointsCrossover,OppositeMoveOperator] 167271
