h0 [SinglePointCrossover,BitFlipMutation] 166890
h1 [SinglePointCrossover,LoopMoveOperator] 166652
h2 [SinglePointCrossover,LocalMoveOperator] 166201
h3 [SinglePointCrossover,SegmentMutation] 167311
h4 [SinglePointCrossover,OppositeMoveOperator] 166895
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166589
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166319
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166245
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166750
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167724
h10 [MultiPointsCrossover,BitFlipMutation] 166867
h11 [MultiPointsCrossover,LoopMoveOperator] 166480
h12 [MultiPointsCrossover,LocalMoveOperator] 166272
h13 [MultiPointsCrossover,SegmentMutation] 166469
h14 [MultiPointsCrossover,OppositeMoveOperator] 166336
