h0 [SinglePointCrossover,BitFlipMutation] 83409
h1 [SinglePointCrossover,LoopMoveOperator] 83492
h2 [SinglePointCrossover,LocalMoveOperator] 83020
h3 [SinglePointCrossover,SegmentMutation] 83398
h4 [SinglePointCrossover,OppositeMoveOperator] 83834
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83489
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83469
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83210
h8 [IntegerTwoPointsCrossover,SegmentMutation] 82975
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83272
h10 [MultiPointsCrossover,BitFlipMutation] 83239
h11 [MultiPointsCrossover,LoopMoveOperator] 82975
h12 [MultiPointsCrossover,LocalMoveOperator] 83283
h13 [MultiPointsCrossover,SegmentMutation] 83342
h14 [MultiPointsCrossover,OppositeMoveOperator] 83093
