h0 [SinglePointCrossover,BitFlipMutation] 167350
h1 [SinglePointCrossover,LoopMoveOperator] 166772
h2 [SinglePointCrossover,LocalMoveOperator] 167000
h3 [SinglePointCrossover,SegmentMutation] 166559
h4 [SinglePointCrossover,OppositeMoveOperator] 166532
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166502
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166795
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 165985
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166768
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166803
h10 [MultiPointsCrossover,BitFlipMutation] 166818
h11 [MultiPointsCrossover,LoopMoveOperator] 166704
h12 [MultiPointsCrossover,LocalMoveOperator] 166124
h13 [MultiPointsCrossover,SegmentMutation] 166864
h14 [MultiPointsCrossover,OppositeMoveOperator] 166424
