h0 [SinglePointCrossover,BitFlipMutation] 8314
h1 [SinglePointCrossover,LoopMoveOperator] 8225
h2 [SinglePointCrossover,LocalMoveOperator] 8369
h3 [SinglePointCrossover,SegmentMutation] 8252
h4 [SinglePointCrossover,OppositeMoveOperator] 8357
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8237
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8354
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8376
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8261
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8256
h10 [MultiPointsCrossover,BitFlipMutation] 8328
h11 [MultiPointsCrossover,LoopMoveOperator] 8437
h12 [MultiPointsCrossover,LocalMoveOperator] 8388
h13 [MultiPointsCrossover,SegmentMutation] 8263
h14 [MultiPointsCrossover,OppositeMoveOperator] 8333
