h0 [SinglePointCrossover,BitFlipMutation] 83168
h1 [SinglePointCrossover,LoopMoveOperator] 83502
h2 [SinglePointCrossover,LocalMoveOperator] 83004
h3 [SinglePointCrossover,SegmentMutation] 84018
h4 [SinglePointCrossover,OppositeMoveOperator] 83034
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83336
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83355
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83395
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83223
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83252
h10 [MultiPointsCrossover,BitFlipMutation] 83527
h11 [MultiPointsCrossover,LoopMoveOperator] 83188
h12 [MultiPointsCrossover,LocalMoveOperator] 83530
h13 [MultiPointsCrossover,SegmentMutation] 82807
h14 [MultiPointsCrossover,OppositeMoveOperator] 83161
