h0 [SinglePointCrossover,BitFlipMutation] 1752
h1 [SinglePointCrossover,LoopMoveOperator] 1676
h2 [SinglePointCrossover,LocalMoveOperator] 1680
h3 [SinglePointCrossover,SegmentMutation] 1649
h4 [SinglePointCrossover,OppositeMoveOperator] 1669
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1658
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1701
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1672
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1669
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1606
h10 [MultiPointsCrossover,BitFlipMutation] 1639
h11 [MultiPointsCrossover,LoopMoveOperator] 1635
h12 [MultiPointsCrossover,LocalMoveOperator] 1706
h13 [MultiPointsCrossover,SegmentMutation] 1609
h14 [MultiPointsCrossover,OppositeMoveOperator] 1679
