h0 [SinglePointCrossover,BitFlipMutation] 166645
h1 [SinglePointCrossover,LoopMoveOperator] 166536
h2 [SinglePointCrossover,LocalMoveOperator] 166993
h3 [SinglePointCrossover,SegmentMutation] 166370
h4 [SinglePointCrossover,OppositeMoveOperator] 166974
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167085
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166632
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167521
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166117
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166408
h10 [MultiPointsCrossover,BitFlipMutation] 166627
h11 [MultiPointsCrossover,LoopMoveOperator] 166394
h12 [MultiPointsCrossover,LocalMoveOperator] 166017
h13 [MultiPointsCrossover,SegmentMutation] 167159
h14 [MultiPointsCrossover,OppositeMoveOperator] 166522
