h0 [SinglePointCrossover,BitFlipMutation] 165641
h1 [SinglePointCrossover,LoopMoveOperator] 166296
h2 [SinglePointCrossover,LocalMoveOperator] 166704
h3 [SinglePointCrossover,SegmentMutation] 166355
h4 [SinglePointCrossover,OppositeMoveOperator] 166646
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167012
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 165829
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167074
h8 [IntegerTwoPointsCrossover,SegmentMutation] 167901
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 165912
h10 [MultiPointsCrossover,BitFlipMutation] 166829
h11 [MultiPointsCrossover,LoopMoveOperator] 166532
h12 [MultiPointsCrossover,LocalMoveOperator] 166185
h13 [MultiPointsCrossover,SegmentMutation] 167427
h14 [MultiPointsCrossover,OppositeMoveOperator] 167657
