h0 [SinglePointCrossover,BitFlipMutation] 1703
h1 [SinglePointCrossover,LoopMoveOperator] 1621
h2 [SinglePointCrossover,LocalMoveOperator] 1632
h3 [SinglePointCrossover,SegmentMutation] 1654
h4 [SinglePointCrossover,OppositeMoveOperator] 1792
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1602
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1739
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1640
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1613
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1704
h10 [MultiPointsCrossover,BitFlipMutation] 1720
h11 [MultiPointsCrossover,LoopMoveOperator] 1567
h12 [MultiPointsCrossover,LocalMoveOperator] 1644
h13 [MultiPointsCrossover,SegmentMutation] 1664
h14 [MultiPointsCrossover,OppositeMoveOperator] 1705
