h0 [SinglePointCrossover,BitFlipMutation] 166513
h1 [SinglePointCrossover,LoopMoveOperator] 166755
h2 [SinglePointCrossover,LocalMoveOperator] 166571
h3 [SinglePointCrossover,SegmentMutation] 166564
h4 [SinglePointCrossover,OppositeMoveOperator] 167355
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166300
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166013
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166895
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166964
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166260
h10 [MultiPointsCrossover,BitFlipMutation] 166759
h11 [MultiPointsCrossover,LoopMoveOperator] 167120
h12 [MultiPointsCrossover,LocalMoveOperator] 166800
h13 [MultiPointsCrossover,SegmentMutation] 167318
h14 [MultiPointsCrossover,OppositeMoveOperator] 165813
