h0 [SinglePointCrossover,BitFlipMutation] 166817
h1 [SinglePointCrossover,LoopMoveOperator] 166788
h2 [SinglePointCrossover,LocalMoveOperator] 166296
h3 [SinglePointCrossover,SegmentMutation] 166877
h4 [SinglePointCrossover,OppositeMoveOperator] 166841
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 167431
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167224
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 165667
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166978
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166684
h10 [MultiPointsCrossover,BitFlipMutation] 166649
h11 [MultiPointsCrossover,LoopMoveOperator] 166545
h12 [MultiPointsCrossover,LocalMoveOperator] 165621
h13 [MultiPointsCrossover,SegmentMutation] 166646
h14 [MultiPointsCrossover,OppositeMoveOperator] 166936
