h0 [SinglePointCrossover,BitFlipMutation] 167458
h1 [SinglePointCrossover,LoopMoveOperator] 166065
h2 [SinglePointCrossover,LocalMoveOperator] 165357
h3 [SinglePointCrossover,SegmentMutation] 166523
h4 [SinglePointCrossover,OppositeMoveOperator] 166763
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166698
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166718
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166761
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166333
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166413
h10 [MultiPointsCrossover,BitFlipMutation] 166747
h11 [MultiPointsCrossover,LoopMoveOperator] 166406
h12 [MultiPointsCrossover,LocalMoveOperator] 167935
h13 [MultiPointsCrossover,SegmentMutation] 166758
h14 [MultiPointsCrossover,OppositeMoveOperator] 167065
