h0 [SinglePointCrossover,BitFlipMutation] 857
h1 [SinglePointCrossover,LoopMoveOperator] 810
h2 [SinglePointCrossover,LocalMoveOperator] 824
h3 [SinglePointCrossover,SegmentMutation] 878
h4 [SinglePointCrossover,OppositeMoveOperator] 810
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 849
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 824
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 838
h8 [IntegerTwoPointsCrossover,SegmentMutation] 820
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 817
h10 [MultiPointsCrossover,BitFlipMutation] 778
h11 [MultiPointsCrossover,LoopMoveOperator] 809
h12 [MultiPointsCrossover,LocalMoveOperator] 863
h13 [MultiPointsCrossover,SegmentMutation] 838
h14 [MultiPointsCrossover,OppositeMoveOperator] 835
