h0 [SinglePointCrossover,BitFlipMutation] 857
h1 [SinglePointCrossover,LoopMoveOperator] 842
h2 [SinglePointCrossover,LocalMoveOperator] 780
h3 [SinglePointCrossover,SegmentMutation] 805
h4 [SinglePointCrossover,OppositeMoveOperator] 791
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 909
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 839
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 852
h8 [IntegerTwoPointsCrossover,SegmentMutation] 810
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 799
h10 [MultiPointsCrossover,BitFlipMutation] 809
h11 [MultiPointsCrossover,LoopMoveOperator] 855
h12 [MultiPointsCrossover,LocalMoveOperator] 814
h13 [MultiPointsCrossover,SegmentMutation] 826
h14 [MultiPointsCrossover,OppositeMoveOperator] 862
