h0 [SinglePointCrossover,BitFlipMutation] 8329
h1 [SinglePointCrossover,LoopMoveOperator] 8329
h2 [SinglePointCrossover,LocalMoveOperator] 8291
h3 [SinglePointCrossover,SegmentMutation] 8369
h4 [SinglePointCrossover,OppositeMoveOperator] 8259
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8260
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8379
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8338
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8282
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8134
h10 [MultiPointsCrossover,BitFlipMutation] 8459
h11 [MultiPointsCrossover,LoopMoveOperator] 8163
h12 [MultiPointsCrossover,LocalMoveOperator] 8348
h13 [MultiPointsCrossover,SegmentMutation] 8408
h14 [MultiPointsCrossover,OppositeMoveOperator] 8402
