h0 [SinglePointCrossover,BitFlipMutation] 16673
h1 [SinglePointCrossover,LoopMoveOperator] 16433
h2 [SinglePointCrossover,LocalMoveOperator] 16669
h3 [SinglePointCrossover,SegmentMutation] 16560
h4 [SinglePointCrossover,OppositeMoveOperator] 16606
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16696
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16587
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16912
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16660
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16871
h10 [MultiPointsCrossover,BitFlipMutation] 16726
h11 [MultiPointsCrossover,LoopMoveOperator] 16470
h12 [MultiPointsCrossover,LocalMoveOperator] 16548
h13 [MultiPointsCrossover,SegmentMutation] 16836
h14 [MultiPointsCrossover,OppositeMoveOperator] 16753
