h0 [SinglePointCrossover,BitFlipMutation] 16690
h1 [SinglePointCrossover,LoopMoveOperator] 16753
h2 [SinglePointCrossover,LocalMoveOperator] 16530
h3 [SinglePointCrossover,SegmentMutation] 16605
h4 [SinglePointCrossover,OppositeMoveOperator] 16706
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16565
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16682
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 17002
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16507
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16542
h10 [MultiPointsCrossover,BitFlipMutation] 16669
h11 [MultiPointsCrossover,LoopMoveOperator] 16540
h12 [MultiPointsCrossover,LocalMoveOperator] 16840
h13 [MultiPointsCrossover,SegmentMutation] 16638
h14 [MultiPointsCrossover,OppositeMoveOperator] 16731
