h0 [SinglePointCrossover,BitFlipMutation] 16613
h1 [SinglePointCrossover,LoopMoveOperator] 16585
h2 [SinglePointCrossover,LocalMoveOperator] 16501
h3 [SinglePointCrossover,SegmentMutation] 16709
h4 [SinglePointCrossover,OppositeMoveOperator] 16975
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 16627
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 16584
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 16758
h8 [IntegerTwoPointsCrossover,SegmentMutation] 16618
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 16799
h10 [MultiPointsCrossover,BitFlipMutation] 16723
h11 [MultiPointsCrossover,LoopMoveOperator] 16445
h12 [MultiPointsCrossover,LocalMoveOperator] 16798
h13 [MultiPointsCrossover,SegmentMutation] 16662
h14 [MultiPointsCrossover,OppositeMoveOperator] 16603
