h0 [SinglePointCrossover,BitFlipMutation] 8303
h1 [SinglePointCrossover,LoopMoveOperator] 8442
h2 [SinglePointCrossover,LocalMoveOperator] 8224
h3 [SinglePointCrossover,SegmentMutation] 8475
h4 [SinglePointCrossover,OppositeMoveOperator] 8537
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8228
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8312
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8311
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8144
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8211
h10 [MultiPointsCrossover,BitFlipMutation] 8235
h11 [MultiPointsCrossover,LoopMoveOperator] 8537
h12 [MultiPointsCrossover,LocalMoveOperator] 8207
h13 [MultiPointsCrossover,SegmentMutation] 8244
h14 [MultiPointsCrossover,OppositeMoveOperator] 8340
