h0 [SinglePointCrossover,BitFlipMutation] 166691
h1 [SinglePointCrossover,LoopMoveOperator] 167094
h2 [SinglePointCrossover,LocalMoveOperator] 166755
h3 [SinglePointCrossover,SegmentMutation] 166824
h4 [SinglePointCrossover,OppositeMoveOperator] 166540
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166376
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166463
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167144
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166814
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166220
h10 [MultiPointsCrossover,BitFlipMutation] 167310
h11 [MultiPointsCrossover,LoopMoveOperator] 166152
h12 [MultiPointsCrossover,LocalMoveOperator] 165845
h13 [MultiPointsCrossover,SegmentMutation] 166981
h14 [MultiPointsCrossover,OppositeMoveOperator] 166791
