h0 [SinglePointCrossover,BitFlipMutation] 8269
h1 [SinglePointCrossover,LoopMoveOperator] 8330
h2 [SinglePointCrossover,LocalMoveOperator] 8228
h3 [SinglePointCrossover,SegmentMutation] 8232
h4 [SinglePointCrossover,OppositeMoveOperator] 8447
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8239
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8267
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8261
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8278
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8337
h10 [MultiPointsCrossover,BitFlipMutation] 8302
h11 [MultiPointsCrossover,LoopMoveOperator] 8311
h12 [MultiPointsCrossover,LocalMoveOperator] 8338
h13 [MultiPointsCrossover,SegmentMutation] 8366
h14 [MultiPointsCrossover,OppositeMoveOperator] 8545
