h0 [SinglePointCrossover,BitFlipMutation] 83740
h1 [SinglePointCrossover,LoopMoveOperator] 83487
h2 [SinglePointCrossover,LocalMoveOperator] 83236
h3 [SinglePointCrossover,SegmentMutation] 83501
h4 [SinglePointCrossover,OppositeMoveOperator] 83165
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83346
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83256
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83217
h8 [IntegerTwoPointsCrossover,SegmentMutation] 82754
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83560
h10 [MultiPointsCrossover,BitFlipMutation] 83193
h11 [MultiPointsCrossover,LoopMoveOperator] 83518
h12 [MultiPointsCrossover,LocalMoveOperator] 83628
h13 [MultiPointsCrossover,SegmentMutation] 83050
h14 [MultiPointsCrossover,OppositeMoveOperator] 82849
