h0 [SinglePointCrossover,BitFlipMutation] 82934
h1 [SinglePointCrossover,LoopMoveOperator] 82885
h2 [SinglePointCrossover,LocalMoveOperator] 83001
h3 [SinglePointCrossover,SegmentMutation] 83462
h4 [SinglePointCrossover,OppositeMoveOperator] 83432
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83410
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83168
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83498
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83289
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83137
h10 [MultiPointsCrossover,BitFlipMutation] 83187
h11 [MultiPointsCrossover,LoopMoveOperator] 83437
h12 [MultiPointsCrossover,LocalMoveOperator] 83709
h13 [MultiPointsCrossover,SegmentMutation] 83708
h14 [MultiPointsCrossover,OppositeMoveOperator] 83243
