h0 [SinglePointCrossover,BitFlipMutation] 1639
h1 [SinglePointCrossover,LoopMoveOperator] 1683
h2 [SinglePointCrossover,LocalMoveOperator] 1627
h3 [SinglePointCrossover,SegmentMutation] 1740
h4 [SinglePointCrossover,OppositeMoveOperator] 1698
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 1624
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 1675
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 1656
h8 [IntegerTwoPointsCrossover,SegmentMutation] 1688
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 1668
h10 [MultiPointsCrossover,BitFlipMutation] 1673
h11 [MultiPointsCrossover,LoopMoveOperator] 1660
h12 [MultiPointsCrossover,LocalMoveOperator] 1614
h13 [MultiPointsCrossover,SegmentMutation] 1705
h14 [MultiPointsCrossover,OppositeMoveOperator] 1650
