h0 [SinglePointCrossover,BitFlipMutation] 8301
h1 [SinglePointCrossover,LoopMoveOperator] 8249
h2 [SinglePointCrossover,LocalMoveOperator] 8339
h3 [SinglePointCrossover,SegmentMutation] 8372
h4 [SinglePointCrossover,OppositeMoveOperator] 8193
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8336
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8390
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8190
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8364
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8216
h10 [MultiPointsCrossover,BitFlipMutation] 8385
h11 [MultiPointsCrossover,LoopMoveOperator] 8317
h12 [MultiPointsCrossover,LocalMoveOperator] 8393
h13 [MultiPointsCrossover,SegmentMutation] 8348
h14 [MultiPointsCrossover,OppositeMoveOperator] 8357
