h0 [SinglePointCrossover,BitFlipMutation] 83602
h1 [SinglePointCrossover,LoopMoveOperator] 83662
h2 [SinglePointCrossover,LocalMoveOperator] 82870
h3 [SinglePointCrossover,SegmentMutation] 83351
h4 [SinglePointCrossover,OppositeMoveOperator] 83813
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83346
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 82800
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83314
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83381
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83407
h10 [MultiPointsCrossover,BitFlipMutation] 83130
h11 [MultiPointsCrossover,LoopMoveOperator] 83572
h12 [MultiPointsCrossover,LocalMoveOperator] 83103
h13 [MultiPointsCrossover,SegmentMutation] 82722
h14 [MultiPointsCrossover,OppositeMoveOperator] 83427
