h0 [SinglePointCrossover,BitFlipMutation] 166311
h1 [SinglePointCrossover,LoopMoveOperator] 167183
h2 [SinglePointCrossover,LocalMoveOperator] 166883
h3 [SinglePointCrossover,SegmentMutation] 166387
h4 [SinglePointCrossover,OppositeMoveOperator] 166142
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166419
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166620
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 167493
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166968
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167489
h10 [MultiPointsCrossover,BitFlipMutation] 166865
h11 [MultiPointsCrossover,LoopMoveOperator] 167036
h12 [MultiPointsCrossover,LocalMoveOperator] 166634
h13 [MultiPointsCrossover,SegmentMutation] 165792
h14 [MultiPointsCrossover,OppositeMoveOperator] 165778
