h0 [SinglePointCrossover,BitFlipMutation] 167041
h1 [SinglePointCrossover,LoopMoveOperator] 166655
h2 [SinglePointCrossover,LocalMoveOperator] 166642
h3 [SinglePointCrossover,SegmentMutation] 166874
h4 [SinglePointCrossover,OppositeMoveOperator] 166610
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166539
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166550
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166478
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166838
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 167209
h10 [MultiPointsCrossover,BitFlipMutation] 167016
h11 [MultiPointsCrossover,LoopMoveOperator] 165330
h12 [MultiPointsCrossover,LocalMoveOperator] 166607
h13 [MultiPointsCrossover,SegmentMutation] 167002
h14 [MultiPointsCrossover,OppositeMoveOperator] 166609
