h0 [SinglePointCrossover,BitFlipMutation] 166336
h1 [SinglePointCrossover,LoopMoveOperator] 166798
h2 [SinglePointCrossover,LocalMoveOperator] 167076
h3 [SinglePointCrossover,SegmentMutation] 166535
h4 [SinglePointCrossover,OppositeMoveOperator] 167658
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166859
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 166843
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166431
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166557
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166641
h10 [MultiPointsCrossover,BitFlipMutation] 166042
h11 [MultiPointsCrossover,LoopMoveOperator] 165879
h12 [MultiPointsCrossover,LocalMoveOperator] 166460
h13 [MultiPointsCrossover,SegmentMutation] 166967
h14 [MultiPointsCrossover,OppositeMoveOperator] 166918
