h0 [SinglePointCrossover,BitFlipMutation] 83488
h1 [SinglePointCrossover,LoopMoveOperator] 83148
h2 [SinglePointCrossover,LocalMoveOperator] 83163
h3 [SinglePointCrossover,SegmentMutation] 82878
h4 [SinglePointCrossover,OppositeMoveOperator] 83588
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83246
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 83427
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83201
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83367
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83241
h10 [MultiPointsCrossover,BitFlipMutation] 83629
h11 [MultiPointsCrossover,LoopMoveOperator] 83268
h12 [MultiPointsCrossover,LocalMoveOperator] 82871
h13 [MultiPointsCrossover,SegmentMutation] 83361
h14 [MultiPointsCrossover,OppositeMoveOperator] 82874
