h0 [SinglePointCrossover,BitFlipMutation] 167422
h1 [SinglePointCrossover,LoopMoveOperator] 166538
h2 [SinglePointCrossover,LocalMoveOperator] 166120
h3 [SinglePointCrossover,SegmentMutation] 165740
h4 [SinglePointCrossover,OppositeMoveOperator] 166956
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 166903
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 167205
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 166462
h8 [IntegerTwoPointsCrossover,SegmentMutation] 166221
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 166322
h10 [MultiPointsCrossover,BitFlipMutation] 166630
h11 [MultiPointsCrossover,LoopMoveOperator] 167325
h12 [MultiPointsCrossover,LocalMoveOperator] 167159
h13 [MultiPointsCrossover,SegmentMutation] 166864
h14 [MultiPointsCrossover,OppositeMoveOperator] 166133
