h0 [SinglePointCrossover,BitFlipMutation] 8285
h1 [SinglePointCrossover,LoopMoveOperator] 8424
h2 [SinglePointCrossover,LocalMoveOperator] 8282
h3 [SinglePointCrossover,SegmentMutation] 8338
h4 [SinglePointCrossover,OppositeMoveOperator] 8306
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 8185
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 8431
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 8329
h8 [IntegerTwoPointsCrossover,SegmentMutation] 8348
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 8367
h10 [MultiPointsCrossover,BitFlipMutation] 8276
h11 [MultiPointsCrossover,LoopMoveOperator] 8280
h12 [MultiPointsCrossover,LocalMoveOperator] 8473
h13 [MultiPointsCrossover,SegmentMutation] 8217
h14 [MultiPointsCrossover,OppositeMoveOperator] 8209
