h0 [SinglePointCrossover,BitFlipMutation] 83466
h1 [SinglePointCrossover,LoopMoveOperator] 83008
h2 [SinglePointCrossover,LocalMoveOperator] 83831
h3 [SinglePointCrossover,SegmentMutation] 83930
h4 [SinglePointCrossover,OppositeMoveOperator] 82991
h5 [IntegerTwoPointsCrossover,BitFlipMutation] 83042
h6 [IntegerTwoPointsCrossover,LoopMoveOperator] 82776
h7 [IntegerTwoPointsCrossover,LocalMoveOperator] 83219
h8 [IntegerTwoPointsCrossover,SegmentMutation] 83714
h9 [IntegerTwoPointsCrossover,OppositeMoveOperator] 83475
h10 [MultiPointsCrossover,BitFlipMutation] 83046
h11 [MultiPointsCrossover,LoopMoveOperator] 83032
h12 [MultiPointsCrossover,LocalMoveOperator] 83179
h13 [MultiPointsCrossover,SegmentMutation] 83436
h14 [MultiPointsCrossover,OppositeMoveOperator] 83355
